Nombre,TipoBarrio
V.I.C.O.R.,1
ALTOS SAN MARTIN,1
BAJADA SAN ROQUE,1
IRUPE,1
LOS HORNILLOS,2
LA ESPERANZA,2
AMPLIACION LOS ALAMOS,2
ZEPA,2
CIUDAD DE LOS NI�OS,2
"VILLA RIVADAVIA ANEXO ""A""",1
FERRER,1
CIUDAD DE JUAN PABLO II,2
NUEVO URCA,2
MAURIZI,1
ROGELIO MARTINEZ,1
BELLA VISTA OESTE,1
LICEO GENERAL PAZ,2
1RA. JUNTA,1
MANANTIALES I,2
ALTOS SUD DE SAN VICENTE,1
ZEPA,2
MERCANTIL,1
POLICIAL,2
SAN LORENZO NORTE,1
VILLA CORNU,2
LAS MARGARITAS,1
ALTO VERDE,1
MILITAR GENERAL DEHEZA,1
20 DE JUNIO,1
POLICIAL,1
LOS JOSEFINOS,1
CACERES,1
CUPANI,1
LOS CHINGOLOS,2
CASEROS,1
CONSORCIO 16 DE NOVIEMBRE,1
ALTO PALERMO,1
TABLADA PARK,1
PARQUE MONTECRISTO,1
LOS PINOS,1
GUI�AZU SUD,1
BAJADA DE PIEDRA,1
SIN DESIGNACION,2
AIRES DEL SUR,2
ALTO HERMOSO,1
SAN LUIS DE FRANCIA,1
KAIROS,1
YAPEYU,2
GUAYAQUIL,1
PATRICIOS,1
SAN FRANCISCO,1
AMPLIACION EMPALME,1
PARQUE COREMA,1
BENJAMIN POLICARPIO CABRAL,1
PARQUE LOS MOLINOS,1
VILLA CORINA,1
PARQUE SAN VICENTE,1
PASO DE LOS ANDES,1
EJERCITO ARGENTINO,1
COUNTRY CLUB,1
FINCA LA DOROTEA,1
LOS EUCALIPTUS,1
O.S.N.,2
SUAREZ,1
BARRANCAS DEL SUR,2
FERREYRA SEGUNDA SECCION,2
PATRIA,1
CAROLA LORENZINI,1
EL CERRITO,1
AMPLIACION ALTAMIRA,1
PARQUE CHATEAU CARRERAS,2
QUINTAS DE ARGUELLO,1
GENERAL BUSTOS,1
AMPLIACION ROSEDAL,1
PARQUE JORGE NEWBERY,1
ROSEDAL,2
RESIDENCIAL OLIVOS,1
COLINAS DE BELLA VISTA,1
SAN NICOLAS,1
U.O.C.R.A.,1
CERVECEROS,2
CERVECEROS,1
COUNTRY LOS ALGARROBOS,2
ALBORADA (S),1
CERRO CHICO,1
LOS OLMOS SUD,1
S.E.P.,1
O.S.N.,1
ANA MARIA ZUMARAN,1
ALTOS DE VILLA CABRERA,1
REMEDIOS DE ESCALADA,2
SARGENTO CABRAL,1
VILLA CABRERA,1
HIPOLITO IRIGOYEN,1
ARGUELLO,1
GENERAL ARENALES,1
LOS OLMOS SUD,2
AMPLIACION FARINA,1
MARQUES DE SOBREMONTE,1
JERONIMO LUIS DE CABRERA,1
JUAN B. JUSTO,1
DEAN FUNES,1
MARCELO T. DE ALVEAR,1
GENERAL ARTIGAS,1
CIUDAD OBISPO ANGELELLI,2
ALBORADA (N),1
COLINAS DE VELEZ SARSFIELD,1
PARQUE VELEZ SARSFIELD,1
LOS PARAISOS,1
SAN CAYETANO,1
EMAUS,1
LOS CEIBOS,1
GRANADERO PRINGLES,1
COFICO,1
YOFRE I,1
SANTA ISABEL 3A SECCION,1
COMANDANTE ESPORA,1
GENERAL MOSCONI,1
JARDIN HIPODROMO,1
NUEVA CORDOBA,1
INDEPENDENCIA,1
PARQUE FUTURA,1
PARQUE FUTURA,2
REMEDIOS DE ESCALADA,1
